source_fullname,source_shortname,base_url,pages_url,num_pages,save_locally,anti_robot,load_more_button,alt_source_domain
Sunday World,sundayworld.co.za,https://sundayworld.co.za/,https://sundayworld.co.za/,1,False,True,False,
SurgeZirc,surgezirc.co.za,https://surgezirc.co.za/,https://surgezirc.co.za/,1,False,True,False,
The Capetowner,www.capetowner.co.za,https://www.capetowner.co.za/,https://www.capetowner.co.za/,1,False,True,False,
The Citizen,www.citizen.co.za,https://www.citizen.co.za/,https://www.citizen.co.za/,1,False,True,False,
The Daily Friend,dailyfriend.co.za,https://dailyfriend.co.za/,https://dailyfriend.co.za/,1,False,True,False,
The South African,www.thesouthafrican.com,https://www.thesouthafrican.com/,https://www.thesouthafrican.com/,1,False,True,False,
Times LIVE,www.timeslive.co.za,https://www.timeslive.co.za/,https://www.timeslive.co.za/,1,False,True,False,
Voice of the Cape,www.vocfm.co.za,https://www.vocfm.co.za/,https://www.vocfm.co.za/,1,False,True,False,
allAfrica.com,allafrica.com,https://allafrica.com/,https://allafrica.com/,1,False,True,False,
eNCA,www.enca.com,https://www.enca.com/,https://www.enca.com/,1,False,True,False,
iReport SA,ireportsouthafrica.co.za,https://ireportsouthafrica.co.za/,https://ireportsouthafrica.co.za/,1,False,True,False,
ATN News,www.atnews.co.za,https://www.atnews.co.za/,https://www.atnews.co.za/,1,False,True,False,
Cape Argus,capeargus.co.za,https://capeargus.co.za/,https://capeargus.co.za/,1,False,True,False,
Cape Times,capetimes.co.za,https://capetimes.co.za/,https://capetimes.co.za/,1,False,True,False,
Central News,centralnews.co.za,https://centralnews.co.za/,https://centralnews.co.za/,1,False,True,False,
Daily Investor,dailyinvestor.com,https://dailyinvestor.com/,https://dailyinvestor.com/,1,False,True,False,
Gagasi FM,gagasiworld.co.za,https://gagasiworld.co.za/,https://gagasiworld.co.za/,1,False,True,False,
Limpopo Chronicle,www.limpopochronicle.co.za,https://www.limpopochronicle.co.za/,https://www.limpopochronicle.co.za/,1,False,True,False,
MDNTV,mdntvlive.com,https://mdntvlive.com/,https://mdntvlive.com/,1,False,True,False,
Scrolla Africa,izindaba.scrolla.africa,https://izindaba.scrolla.africa/,https://izindaba.scrolla.africa/,1,False,True,False,
Scrolla Africa,scrolla.africa,https://scrolla.africa/,https://scrolla.africa/,1,False,True,False,
The Mercury,themercury.co.za,https://themercury.co.za/,https://themercury.co.za/,1,False,True,False,
African Insider,www.africaninsider.com,https://www.africaninsider.com/,https://www.africaninsider.com/,1,False,True,False,
Athlone News,athlonenews.co.za,https://athlonenews.co.za/,https://athlonenews.co.za/,1,False,True,False,
Atlantic Sun,atlanticsun.co.za,https://atlanticsun.co.za/,https://atlanticsun.co.za/,1,False,True,False,
Cape Business News,cbn.co.za,https://cbn.co.za/,https://cbn.co.za/,1,False,True,False,
Cape Chamber,capechamber.co.za,https://capechamber.co.za/,https://capechamber.co.za/,1,False,True,False,
