source_fullname,source_shortname,base_url,pages_url,num_pages,save_locally,anti_robot,load_more_button,alt_source_domain
Northern Dispatch,nordis.net,https://nordis.net/,https://nordis.net/,1,False,True,False,
Panay News,www.panaynews.net,https://www.panaynews.net/,https://www.panaynews.net/,1,False,True,False,
Pilipino Mirror,pilipinomirror.com,https://pilipinomirror.com/,https://pilipinomirror.com/,1,False,True,False,
Pinas News,pinas.news,https://pinas.news/,https://pinas.news/,1,False,True,False,
Police Files Tonite,www.policefilestonite.net,https://www.policefilestonite.net/,https://www.policefilestonite.net/,1,False,True,False,
RMN DYHB Bacolod,rmnbacolod.com,https://rmnbacolod.com/,https://rmnbacolod.com/,1,False,True,False,
RPN Radio,rpnradio.com,https://rpnradio.com/,https://rpnradio.com/,1,False,True,False,
Radyo La Verdad,www.radyolaverdad.com,https://www.radyolaverdad.com/,https://www.radyolaverdad.com/,1,False,True,False,
Saksi Ngayon,saksingayon.com,https://saksingayon.com/,https://saksingayon.com/,1,False,True,False,
Samar News,samarnews.com,https://samarnews.com/,https://samarnews.com/,1,False,True,False,
Siongbao,www.shangbao.com.ph,https://www.shangbao.com.ph/,https://www.shangbao.com.ph/,1,False,True,False,
Southern Leyte Times,southernleytetimes.net,https://southernleytetimes.net/,https://southernleytetimes.net/,1,False,True,False,
The Bohol Times,theboholtimes.com,https://theboholtimes.com/,https://theboholtimes.com/,1,False,True,False,
The News Today,www.thenewstoday.info,https://www.thenewstoday.info/,https://www.thenewstoday.info/,1,False,True,False,
The Northern Forum,northernforum.net,https://northernforum.net/,https://northernforum.net/,1,False,True,False,
United News,unitednews.net.ph,https://unitednews.net.ph/,https://unitednews.net.ph/,1,False,True,False,
Visayan Daily Star,visayandailystar.com,https://visayandailystar.com/,https://visayandailystar.com/,1,False,True,False,
Voice of the South,www.voiceofthesouth.org,https://www.voiceofthesouth.org/,https://www.voiceofthesouth.org/,1,False,True,False,
World News,worldnews.net.ph,https://worldnews.net.ph/,https://worldnews.net.ph/,1,False,True,False,
702,www.702.co.za,https://www.702.co.za/,https://www.702.co.za/,1,False,True,False,
947,www.947.co.za,https://www.947.co.za/,https://www.947.co.za/,1,False,True,False,
2oceansvibe,www.2oceansvibe.com,https://www.2oceansvibe.com/,https://www.2oceansvibe.com/,1,False,True,False,
Africa Intelligence,www.africaintelligence.com,https://www.africaintelligence.com/,https://www.africaintelligence.com/,1,False,True,False,
BizNews.com,www.biznews.com,https://www.biznews.com/,https://www.biznews.com/,1,False,True,False,
Bizcommunity,www.bizcommunity.com,https://www.bizcommunity.com/,https://www.bizcommunity.com/,1,False,True,False,
